,Genre
1506,rock
1507,rnb
1508,rnb
1509,pop
1510,rnb
1511,pop
1512,pop
1513,rock
1514,pop
1515,pop
1516,indie
1517,pop
1518,dance
1519,dance
1520,pop
1521,pop
1522,pop
1523,soul
1524,pop
1525,pop
1526,pop
1527,rnb
1528,pop
1529,dance
1530,rock
1531,pop
1532,american
1533,rock
1534,pop
1535,hip hop
1536,rock
1537,pop
1538,pop
1539,rock
1540,pop
1541,dance
1542,rock
1543,luther vandrosspower of love 
1544,pop
1545,rock
1546,dance
1547,pop
1548,pop
1549,rap
1550,rnb
1551,rap
1552,pop
1553,rnb
1554,rock
1555,soul
1556,rock
1557,pop
1558,pop
1559,rnb
1560,rock
1561,pop
1562,pop
1563,country
1564,pop
1565,rock
1566,rock
1567,pop
1568,dance
1569,pop
1570,easy listening
1571,pop
1572,hip hop
1573,pop
1574,pop
1575,pop
1576,soul
1577,rnb
1578,rnb
1579,grunge
1580,rnb
1581,pop
1582,rnb
1583,rnb
1584,rnb
1585,dance
1586,rock
1587,hip hop
1588,test
1589,pop
1590,pop
1591,hip hop
1592,pop
1593,soul
1594,pop
1595,soul
1596,pop
1597,rock
1598,pop
1599,rock
1600,rnb
1601,rap
1602,pop
1603,rnb
1604,rock
1605,soul
1606,rock
1607,pop
1608,pop
1609,rnb
1610,rock
1611,pop
1612,pop
1613,country
1614,pop
1615,rock
1616,rock
1617,pop
1618,dance
1619,pop
1620,easy listening
1621,pop
1622,hip hop
1623,pop
1624,pop
1625,pop
1626,soul
1627,rnb
1628,rnb
1629,grunge
1630,rnb
1631,pop
1632,rnb
1633,rnb
1634,rnb
1635,dance
1636,rock
1637,hip hop
1638,test
1639,pop
1640,pop
1641,hip hop
1642,pop
1643,soul
1644,pop
1645,soul
1646,pop
1647,rock
1648,pop
1649,rock
1650,pop
1651,rnb
1652,rnb
1653,pop
1654,pop
1655,pop
1656,rnb
1657,rock
1658,pop
1659,pop
1660,rnb
1661,pop
1662,pop
1663,hip hop
1664,rock
1665,pop
1666,rnb
1667,pop
1668,hip hop
1669,reggae
1670,hip hop
1671,pop
1672,rnb
1673,pop
1674,rnb
1675,rock
1676,pop
1677,hip hop
1678,
1679,rock
1680,pop
1681,electronic
1682,rock
1683,rnb
1684,hip hop
1685,90s
1686,funk
1687,90s
1688,rock
1689,rnb
1690,rnb
1691,dance
1692,pop
1693,pop
1694,rock
1695,indie
1696,rock
1697,rap
1698,rnb
1699,dance
1700,pop
1701,pop
1702,rnb
1703,pop
1704,blues
1705,pop
1706,rnb
1707,rnb
1708,
1709,electronic
1710,rock
1711,rnb
1712,rock
1713,rnb
1714,rap
1715,pop
1716,blues
1717,hip hop
1718,rap
1719,pop
1720,dance
1721,rock
1722,pop
1723,pop
1724,love
1725,rock
1726,rock
1727,rock
1728,folk
1729,rnb
1730,rap
1731,rnb
1732,soul
1733,rnb
1734,dance
1735,rnb
1736,pop
1737,rock
1738,rnb
1739,rnb
1740,rock
1741,rnb
1742,rnb
1743,rnb
1744,pop
1745,pop
1746,rock
1747,pop
1748,rnb
1749,pop
1750,pop
1751,hip hop
1752,soul
1753,hip hop
1754,rnb
1755,rnb
1756,country
1757,pop
1758,pop
1759,pop
1760,rnb
1761,rnb
1762,rock
1763,rnb
1764,rock
1765,pop
1766,soul
1767,hip hop
1768,pop
1769,rnb
1770,rnb
1771,rap
1772,rnb
1773,rnb
1774,pop
1775,pop
1776,rnb
1777,rnb
1778,pop
1779,pop
1780,rap
1781,pop
1782,rock
1783,rnb
1784,pop
1785,folk
1786,country
1787,pop
1788,pop
1789,rnb
1790,rnb
1791,pop
1792,hip hop
1793,rap
1794,rnb
1795,pop
1796,pop
1797,soul
1798,pop
1799,pop
1800,rnb
1801,rnb
1802,rnb
1803,pop
1804,pop
1805,pop
1806,pop
1807,rnb
1808,pop
1809,rnb
1810,pop
1811,rock
1812,pop
1813,pop
1814,rock
1815,pop
1816,rock
1817,rnb
1818,rnb
1819,rock
1820,grunge
1821,pop
1822,pop
1823,rnb
1824,rock
1825,rock
1826,rock
1827,country
1828,rap
1829,pop
1830,pop
1831,pop
1832,pop
1833,hip hop
1834,rock
1835,
1836,pop
1837,rnb
1838,pop
1839,boybands
1840,pop
1841,rnb
1842,pop
1843,pop
1844,hip hop
1845,pop
1846,hip hop
1847,country
1848,country
1849,country
1850,rock
1851,rock
1852,rnb
1853,rock
1854,rnb
1855,pop
1856,country
1857,rock
1858,rnb
1859,rock
1860,rnb
1861,hip hop
1862,rnb
1863,rock
1864,pop
1865,pop
1866,pop
1867,pop
1868,rnb
1869,pop
1870,pop
1871,pop
1872,rnb
1873,rnb
1874,soul
1875,pop
1876,pop
1877,rap
1878,rnb
1879,pop
1880,hip hop
1881,pop
1882,dance
1883,country
1884,rock
1885,pop
1886,pop
1887,rnb
1888,rock
1889,country
1890,pop
1891,rock
1892,country
1893,rnb
1894,rnb
1895,rnb
1896,rock
1897,dance
1898,pop
1899,rock
1900,soul
1901,pop
1902,rock
1903,pop
1904,rock
1905,hip hop
1906,pop
1907,rock
1908,rnb
1909,rnb
1910,reggae
1911,rnb
1912,rock
1913,rnb
1914,rnb
1915,reggae
1916,rap
1917,pop
1918,rnb
1919,rock
1920,hip hop
1921,rnb
1922,pop
1923,hip hop
1924,pop
1925,country
1926,pop
1927,rock
1928,hip hop
1929,rnb
1930,country
1931,electronic
1932,pop
1933,hip hop
1934,rnb
1935,rnb
1936,pop
1937,rock
1938,rnb
1939,pop
1940,rnb
1941,pop
1942,rock
1943,rnb
1944,rock
1945,rock
1946,rnb
1947,rnb
1948,rnb
1949,rock
1950,rnb
1951,hip hop
1952,rnb
1953,rock
1954,pop
1955,rock
1956,hip hop
1957,rnb
1958,rock
1959,pop
1960,hip hop
1961,pop
1962,rock
1963,
1964,rnb
1965,rnb
1966,
1967,rnb
1968,rock
1969,rap
1970,pop
1971,pop
1972,pop
1973,rock
1974,rock
1975,rock
1976,pop
1977,pop
1978,hip hop
1979,dance
1980,pop
1981,pop
1982,rnb
1983,pop
1984,pop
1985,hip hop
1986,hip hop
1987,pop
1988,rnb
1989,rnb
1990,rock
1991,pop
1992,hip hop
1993,pop
1994,rock
1995,rap
1996,rnb
1997,
1998,rap
1999,rap
2000,rnb
2001,reggae
2002,pop
2003,rock
2004,rock
2005,hip hop
2006,rnb
2007,rock
2008,rap
2009,rnb
2010,
2011,hip hop
2012,pop
2013,pop
2014,rap
2015,pop
2016,rock
2017,hip hop
2018,rap
2019,rnb
2020,hip hop
2021,rap
2022,hip hop
2023,hip hop
2024,rock
2025,rap
2026,rnb
2027,pop
2028,rnb
2029,pop
2030,reggae
2031,pop
2032,
2033,hip hop
2034,hip hop
2035,rnb
2036,rap
2037,rnb
2038,hip hop
2039,hip hop
2040,pop
2041,rock
2042,hip hop
2043,pop
2044,pop
2045,rock
2046,rnb
2047,rap
2048,pop
2049,rnb
2050,rnb
2051,soul
2052,pop
2053,hip hop
2054,rock
2055,rnb
2056,hip hop
2057,dance
2058,hip hop
2059,hip hop
2060,rnb
2061,rap
2062,rap
2063,rock
2064,hip hop
2065,rock
2066,rnb
2067,rock
2068,hip hop
2069,hip hop
2070,dance
2071,rnb
2072,rnb
2073,rap
2074,pop
2075,reggae
2076,pop
2077,rnb
2078,rnb
2079,hip hop
2080,hip hop
2081,jay-znumb 
2082,soul
2083,pop
2084,pop
2085,rock
2086,pop
2087,pop
2088,pop
2089,rnb
2090,hip hop
2091,hip hop
2092,hip hop
2093,rap
2094,rnb
2095,hip hop
2096,pop
2097,rap
2098,pop
2099,pop
2100,reggae
2101,pop
2102,pop
2103,dance
2104,pop
2105,soul
2106,rap
2107,pop
2108,rnb
2109,rnb
2110,rap
2111,pop rock
2112,rnb
2113,pop
2114,rnb
2115,rnb
2116,rap
2117,pop
2118,rock
2119,rock
2120,pop
2121,rock
2122,hip hop
2123,rap
2124,country
2125,rock
2126,pop
2127,indie
2128,rock
2129,dance
2130,pop
2131,rock
2132,hip hop
2133,rap
2134,rap
2135,reggae
2136,rock
2137,pop
2138,pop
2139,
2140,hip hop
2141,hip hop
2142,hip hop
2143,pop
2144,hip hop
2145,rap
2146,rock
2147,rock
2148,rnb
2149,rnb
2150,pop
2151,pop
2152,pop
2153,hip hop
2154,country
2155,indie
2156,hip hop
2157,pop
2158,pop
2159,rnb
2160,pop
2161,pop
2162,rap
2163,hip hop
2164,hip hop
2165,rock
2166,hip hop
2167,pop
2168,rap
2169,rnb
2170,pop
2171,gym class heroescupid's chokehold 
2172,rock
2173,rock
2174,pop
2175,hip hop
2176,hip hop
2177,pop
2178,hip hop
2179,rnb
2180,rock
2181,hip hop
2182,phat beatz
2183,rap
2184,rock
2185,rock
2186,rock
2187,pop
2188,rnb
2189,hip hop
2190,hip hop
2191,hip hop
2192,rnb
2193,rock
2194,rock
2195,rnb
2196,hip hop
2197,rock
2198,hip hop
2199,hip hop
2200,pop
2201,soul
2202,hip hop
2203,rnb
2204,pop
2205,pop
2206,rnb
2207,rnb
2208,rnb
2209,hip hop
2210,pop
2211,rock
2212,pop
2213,hip hop
2214,pop
2215,dance
2216,pop
2217,hip hop
2218,rnb
2219,pop
2220,pop
2221,pop
2222,pop
2223,rock
2224,pop
2225,chill
2226,pop
2227,hip hop
2228,pop
2229,pop
2230,dance
2231,rock
2232,rnb
2233,hip hop
2234,pop
2235,rap
2236,hip hop
2237,rnb
2238,hip hop
2239,country
2240,pop
2241,rap
2242,rock
2243,rnb
2244,soul
2245,country
2246,pop
2247,rap
2248,rnb
2249,dance
2250,pop
2251,dance
2252,pop
2253,country
2254,hip hop
2255,rnb
2256,hip hop
2257,rock
2258,country
2259,rap
2260,rock
2261,rock
2262,rnb
2263,rnb
2264,reggaeton
2265,rap
2266,hip hop
2267,pop
2268,pop
2269,hip hop
2270,pop
2271,pop
2272,pop
2273,rock
2274,pop
2275,hip hop
2276,pop
2277,electronic
2278,hip hop
2279,dance
2280,dance
2281,pop
2282,dance
2283,pop
2284,rnb
2285,pop
2286,pop
2287,hip hop
2288,pop
2289,rnb
2290,electropop
2291,hip hop
2292,pop
2293,dance
2294,rap
2295,rnb
2296,rnb
2297,pop
2298,pop
2299,dance
2300,country
2301,pop
2302,pop
2303,pop
2304,rap
2305,rap
2306,pop
2307,dance
2308,dance
2309,hip hop
2310,dance
2311,rap
2312,pop
2313,pop
2314,pop
2315,pop
2316,pop
2317,pop
2318,hip hop
2319,rap
2320,dance
2321,hip hop
2322,rap
2323,pop
2324,dance
2325,rock
2326,pop
2327,pop
2328,electronic
2329,rnb
2330,rnb
2331,pop
2332,pop
2333,hip hop
2334,rap
2335,dance
2336,hip hop
2337,pop
2338,dance
2339,pop
2340,electropop
2341,pop
2342,pop
2343,pop
2344,country
2345,pop
2346,pop
2347,hip hop
2348,hip hop
2349,soul
2350,dance
2351,pop
2352,pop
2353,dance
2354,pop
2355,pop
2356,hip hop
2357,pop
2358,pop
2359,dance
2360,pop
2361,indie
2362,pop
2363,pop
2364,dance
2365,pop
2366,pop
2367,pop
2368,rnb
2369,hip hop
2370,dance
2371,hip hop
2372,soul
2373,rock
2374,pop
2375,pop
2376,hip hop
2377,pop
2378,pop
2379,hip hop
