,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,mode,liveness,loudness,speechiness,tempo,time_signature,valence
488,Little Woman,The Wonderful World of the 70's: 100 Hit Songs,Bobby Sherman,2014-08-27,145240,0,0.643,0.362,0.582,4.02e-06,2,1,0.613,-9.547,0.0543,95.149,4,0.954
489,Love Can Make You Happy,Love Can Make You Happy,Mercy,2009-06-02,208293,0,0.283,0.142,0.254,1.22e-05,4,0,0.155,-14.306,0.0314,172.228,4,0.309
490,Good Morning Starshine - Re-Recording,The Sunshine Collection,Oliver,2002-08-01,218746,23,0.691,0.51,0.513,1.11e-05,11,1,0.0489,-9.625,0.0301,124.98,4,0.835
491,These Eyes,The Best Of The Guess Who,The Guess Who,1971,225400,48,0.545,0.543,0.352,2.17e-05,7,1,0.122,-13.155,0.0265,96.237,4,0.73
492,You've Made Me So Very Happy,"Blood, Sweat & Tears","Blood, Sweat & Tears",1968-12,255906,0,0.411,0.33,0.376,1.18e-06,3,0,0.722,-13.847,0.043,96.094,4,0.513
493,Put A Little Love In Your Heart,The Very Best Of Jackie DeShannon,Jackie DeShannon,1996-01-01,156533,50,0.579,0.71,0.362,0.00053,9,1,0.126,-12.442,0.0284,100.561,4,0.401
494,Do Your Thing,Rhino Hi-Five: Charles Wright & the Watts 103rd St. Rhythm Band,Charles Wright & The Watts 103rd Street Rhythm Band,2005-04-19,213400,5,0.758,0.124,0.509,0.000125,9,1,0.278,-15.534,0.115,127.212,4,0.58
495,I’d Wait A Million Years,Cruisin' To The Hits Of The '50s & '60s,The Grass Roots,2007-08-28,169266,0,0.656,0.501,0.612,0.0,10,0,0.0554,-8.135,0.0364,128.282,4,0.809
496,Touch Me - New Stereo Mix,The Future Starts Here: The Essential Doors Hits,The Doors,2008-01-28,192213,41,0.447,0.039,0.72,0.00106,1,1,0.0412,-9.207,0.035,109.382,4,0.765
497,More Today Than Yesterday,More Today Than Yesterday,The Spiral Starecase,2010-11-02,188986,51,0.608,0.143,0.764,0.0,7,1,0.067,-6.262,0.0332,142.121,4,0.769
498,I've Gotta Be Me,The Essentials: Sammy Davis Jr.,Sammy Davis Jr.,2002,174253,17,0.416,0.902,0.428,9.53e-06,0,1,0.225,-9.615,0.0289,95.203,3,0.606
499,"Lay, Lady, Lay",Nashville Skyline,Bob Dylan,1969-04-09,197093,65,0.52,0.356,0.179,0.00344,11,0,0.131,-21.976,0.0454,155.746,4,0.407
500,Bridge over Troubled Water,Greatest Hits,Simon & Garfunkel,1972-06-14,293120,0,0.276,0.795,0.236,9.67e-05,3,1,0.366,-13.742,0.0299,83.611,4,0.261
501,(They Long To Be) Close To You,Chronicles,Carpenters,2005-01-01,276000,0,0.533,0.691,0.237,7.8e-05,8,1,0.12,-14.581,0.0337,89.026,4,0.231
502,American Woman,The Ultimate Collection,The Guess Who,1997-01-28,307866,33,0.505,0.0144,0.727,7.69e-05,2,1,0.581,-9.033,0.0521,93.724,4,0.383
503,Raindrops Keep Falling On My Head (Re-Recorded),60s Classics,B.J. Thomas,2007-06-26,181546,0,0.398,0.684,0.584,0.0999,5,1,0.109,-6.516,0.0531,157.742,3,0.774
504,War,Motown Unmixed,Edwin Starr,2004,203373,0,0.592,0.0424,0.816,0.0,1,1,0.185,-7.392,0.165,109.311,4,0.723
505,Ain't No Mountain High Enough - Single Version,Diana Ross (Expanded Edition),Diana Ross,1970-06-19,380173,55,0.311,0.418,0.699,0.00177,0,0,0.24,-8.945,0.0405,96.348,4,0.546
506,I'll Be There,Love Songs,The Jackson 5,2009,237733,0,0.505,0.586,0.575,2.54e-06,5,1,0.651,-5.57,0.0255,93.853,4,0.312
507,Get Ready,Brady Days - Music Inspired By The Brady Bunch,Rare Earth,2007-01-01,232600,0,0.567,0.167,0.942,0.00062,2,0,0.111,-3.561,0.0582,140.905,4,0.839
508,Let It Be,A Tribute to #1 Beatles Hits - The Best of the Beatles,The Yesteryears,2010-07-13,228024,32,0.609,0.217,0.66,1.23e-06,0,1,0.1,-5.867,0.0249,139.951,4,0.496
509,Band Of Gold - Re-Record,Band Of Gold,Freda Payne,2008-06-01,174985,23,0.606,0.367,0.708,0.0,7,1,0.516,-4.508,0.0296,107.08,4,0.791
510,Mama Told Me (Not To Come),Boogie Nights #2 (More Music From The Original Motion Picture),Three Dog Night,1998-01-01,196093,41,0.676,0.14,0.856,0.000563,1,1,0.147,-6.126,0.048,120.655,4,0.785
511,Everything Is Beautiful,Golden Hits forever V4,Ray Stevens,2009-01-15,212226,0,0.387,0.562,0.411,3.16e-06,5,1,0.31,-14.132,0.0364,112.312,4,0.786
512,Make It with You,The Best of Bread,Bread,1973-06-01,192200,61,0.629,0.66,0.356,0.000617,4,1,0.173,-11.135,0.0246,83.886,4,0.472
513,Hitchin a Ride,Hitchin' A Ride,Vanity Fare,2011-02-28,177040,16,0.725,0.109,0.452,0.0,0,1,0.129,-15.24,0.0311,130.554,4,0.977
514,ABC,Anthology: Jackson 5,The Jackson 5,2000-01-01,177426,57,0.725,0.426,0.804,0.000504,8,1,0.108,-7.84,0.0393,93.668,4,0.961
515,The Love You Save,Anthology: Jackson 5,The Jackson 5,2000-01-01,183133,18,0.75,0.414,0.83,0.0,0,1,0.146,-6.564,0.0406,113.42,4,0.947
516,Cracklin rosie,Neil Diamond (Golden collection),Neil Diamond,1969,165666,0,0.382,0.00872,0.813,0.0,1,1,0.981,-12.739,0.103,142.206,4,0.763
517,Candida,Candida,The Dawn,1970,182973,49,0.783,0.235,0.596,0.0,7,1,0.0427,-10.056,0.0676,127.576,4,0.88
518,Thank You (Falettinme Be Mice Elf Agin) - Single Version,Greatest Hits,Sly & The Family Stone,1970-11-21,291320,61,0.9,0.296,0.709,0.00047,9,1,0.0863,-12.683,0.0636,105.822,4,0.897
519,Spill The Wine,The Best Of Eric Burdon & War,Eric Burdon,1976-01-01,244306,0,0.845,0.47,0.447,0.0,2,0,0.0782,-11.897,0.049,119.457,4,0.953
520,O-O-H Child,Shining '70s (Best Of '70s Easy Rock),The Five Stairsteps,2000-07-05,195733,0,0.511,0.00629,0.66,8.31e-06,10,0,0.606,-9.052,0.0385,88.816,4,0.709
521,Spirit in the Sky,Music From The Motion Picture Michael,Norman Greenbaum,1979,239600,3,0.601,0.112,0.643,0.00209,2,1,0.088,-5.828,0.0314,128.262,4,0.552
522,Lay Down (Candles In The Rain) - Long Version,Beautiful People: The Greatest Hits of Melanie,Melanie,1999-07-01,459960,40,0.317,0.426,0.866,0.000445,7,1,0.0792,-4.896,0.0703,94.372,4,0.603
523,Ball Of Confusion,Essential Hits,The Temptations,2013-01-22,135626,0,0.393,0.121,0.822,0.000157,5,0,0.868,-8.175,0.0557,176.344,4,0.821
524,Love on a Two Way Street,Love On A Two-Way Street (US Release),The Moments,1996-07-16,217066,46,0.472,0.61,0.339,0.0,2,1,0.289,-10.969,0.0392,141.357,4,0.242
525,"Which Way You Goin', Billy?",A Good Thing Lost: 1968-1973,The Poppy Family,1996-06-11,203426,0,0.3,0.441,0.689,0.0264,0,1,0.0909,-10.897,0.0518,188.405,4,0.674
526,All Right Now,Molten Gold: The Anthology,Free,1993-01-01,334333,20,0.773,0.0768,0.407,1.77e-06,2,1,0.0801,-15.039,0.0753,119.829,4,0.776
527,I Want You Back,Anthology: Jackson 5,The Jackson 5,2000-01-01,179226,62,0.67,0.439,0.584,0.00614,8,1,0.178,-8.325,0.034,98.185,4,0.944
528,"Julie, Do You Love Me",Doo Wop Oldies Intimate Dance Classics Vol 3,Bobby Sherman,2010-11-18,178639,0,0.447,0.116,0.553,0.0,9,1,0.0487,-9.584,0.03,82.13,4,0.633
529,Green-Eyed Lady,Green-Eyed Lady,Sugarloaf,1970-01-01,219760,53,0.564,0.178,0.523,0.0303,7,1,0.0624,-12.908,0.122,149.304,4,0.89
530,"Signed, Sealed, Delivered (I'm Yours)",Number 1's,Stevie Wonder,2007-01-01,158040,0,0.646,0.00495,0.784,0.0,5,1,0.061,-6.137,0.0334,108.84,4,0.819
531,Ride Captain Ride,Ride Captain Ride - Anthology Of Classics,Blues Image,2010-09-01,258813,22,0.723,0.234,0.576,5.37e-06,4,0,0.177,-12.234,0.0299,125.954,4,0.778
532,Venus,Golden hits forever v1 (Re-recording),Shocking Blue,2008-10-15,179666,0,0.586,0.147,0.649,0.314,11,0,0.287,-12.506,0.0375,130.11,4,0.853
533,Instant Karma,A Salute To John Lennon,The Sounds Of John Lennon,2006,178960,0,0.596,0.0501,0.711,0.0,11,0,0.346,-6.708,0.0282,120.025,4,0.657
534,Patches,Patches,Clarence Carter,1970,193826,50,0.639,0.617,0.544,0.0,4,1,0.479,-12.843,0.141,80.844,4,0.793
535,Lookin' Out My Back Door,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,Creedence Clearwater Revival,2005-12-14,152466,0,0.766,0.153,0.752,0.00234,5,1,0.0889,-4.867,0.042,105.346,4,0.889
536,Rainy Night In Georgia,Rainy Night In Georgia,Brook Benton,2007-01-01,249760,25,0.512,0.417,0.253,0.00184,7,1,0.0762,-15.793,0.0391,137.082,4,0.326
537,Something's Burning,Daytime Friends: The Very Best Of Kenny Rogers,Kenny Rogers,1993-01-01,258893,20,0.422,0.0764,0.276,0.000438,9,1,0.11,-16.541,0.0984,185.848,4,0.123
538,Give Me Just A Little More Time,Beach Music Anthology,General Johnson & The Chairmen of the Board,1999-01-01,156466,0,0.583,0.0804,0.631,2.15e-06,9,0,0.0566,-5.397,0.0409,128.443,4,0.542
539,Love Grows (Where My Rosemary Goes),On the Rocks,Edison Lighthouse,2002-06-18,167946,0,0.567,0.746,0.842,1.84e-06,9,1,0.105,-3.388,0.0312,109.493,4,0.778
540,The Long And Winding Road - Live / Remastered,Wings Over America (Remastered),Paul McCartney,1976-12-10,268826,0,0.424,0.861,0.342,0.000498,3,1,0.956,-12.668,0.0349,123.355,4,0.293
541,Snowbird,This Way Is My Way,Anne Murray,1998-01-01,134226,52,0.531,0.256,0.48,0.000136,9,1,0.0908,-10.633,0.0366,104.117,4,0.881
542,Reflections Of My Life,The Music,Marmalade,2008-01-01,251160,36,0.45,0.177,0.46,0.0306,7,1,0.308,-10.327,0.0251,96.157,4,0.42
543,Hey There Lonely Girl - Rerecorded Version,The 70's,Eddie Holman,2009-10-06,201133,27,0.465,0.687,0.2,0.0,9,1,0.436,-13.618,0.031,96.733,3,0.305
544,The Rapper - Re-Recorded,One Hit Wonders (Re-Recorded Versions),The Jaggerz,2008-08-01,163306,12,0.777,0.379,0.64,0.752,9,1,0.0961,-7.892,0.047,118.641,4,0.823
545,He Ain't Heavy He's My Brother,20 Golden Greats,The Hollies,1978-07-01,258800,51,0.319,0.444,0.275,0.000365,7,1,0.183,-13.195,0.0303,75.754,4,0.253
546,"Tighter, Tighter",Alive 'N Kickin',Alive 'N Kickin',1970,168853,46,0.407,0.0409,0.826,0.00014,8,0,0.0486,-10.014,0.053,162.032,4,0.794
547,Come And Get It,No Matter What You Are,Badfinger,2007-01-01,138186,18,0.622,0.22,0.404,0.0,4,1,0.0348,-14.425,0.0306,98.304,4,0.637
548,Cecilia - Single Mix,Greatest Hits,Simon & Garfunkel,1972-06-14,169560,0,0.675,0.409,0.849,1.31e-05,0,1,0.0916,-9.68,0.0386,104.765,4,0.965
549,Lola,One For The Road,The Kinks,1980-06-04,297560,0,0.463,0.182,0.894,0.0239,9,1,0.988,-7.717,0.135,81.59,4,0.455
550,Joy To The World,Naturally,Three Dog Night,1970-01-01,220573,73,0.649,0.464,0.679,0.00121,2,1,0.339,-12.515,0.0316,126.867,4,0.971
551,Maggie May - Single Version,70's Pop Number 1's,Rod Stewart,2007-01-01,222040,32,0.582,0.679,0.663,0.0268,2,1,0.222,-9.125,0.0287,130.241,4,0.783
552,It's Too Late,Carole King: The Ode Collection,Carole King,1994-09-13,233506,21,0.696,0.437,0.429,0.00407,9,0,0.159,-13.5,0.029,103.326,4,0.812
553,One Bad Apple,20th Century Masters: The Millennium Collection: Best of The Osmonds,The Osmonds,2002-01-01,167640,20,0.563,0.288,0.501,0.0,0,1,0.273,-12.363,0.0548,100.499,4,0.913
554,How Can You Mend a Broken Heart? - Remastered Version,"Best Of Bee Gees, Vol. 2",Bee Gees,1973-08-01,237893,0,0.43,0.532,0.426,0.0,4,1,0.0931,-6.355,0.0312,68.914,4,0.199
555,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Legend Of Paul Revere (feat. Mark Lindsay),Paul Revere & The Raiders,1990,172133,0,0.631,0.0821,0.312,0.0189,2,1,0.11,-16.431,0.104,131.848,4,0.223
556,Go Away Little Girl,20th Century Masters: The Millennium Collection: Best of Donny Osmond,Donny Osmond,2002-01-01,149160,22,0.316,0.76,0.39,0.000186,7,1,0.149,-11.472,0.0409,110.055,4,0.371
557,"Take Me Home, Country Roads - Original Version",John Denver's Greatest Hits,John Denver,2005-06-07,191000,0,0.456,0.744,0.378,0.0,9,1,0.13,-10.218,0.0264,81.844,4,0.648
558,Just My Imagination (Running Away With Me),Dead Presidents Volume II / Music From The Motion Picture,The Temptations,1995,233373,0,0.442,0.921,0.238,0.104,0,1,0.123,-14.307,0.0271,91.447,4,0.432
559,Knock Three Times,The Definitive Collection,Tony Orlando & Dawn,1973,180360,50,0.777,0.154,0.581,0.0,1,1,0.11,-10.129,0.0517,123.1,4,0.93
560,Me and Bobby McGee,Music From The Motion Picture Watchmen,Janis Joplin,2009-02-24,269800,0,0.434,0.324,0.59,0.000116,2,1,0.15,-6.529,0.0406,92.97,4,0.661
561,Tired Of Being Alone,Greatest Hits,Al Green,1975-05-29,163160,0,0.773,0.503,0.418,8.55e-05,7,1,0.0893,-7.645,0.0423,98.324,4,0.715
562,Want Ads,Because I Said So (Music From And Inspired By The Motion Picture),Honey Cone,2010-07-27,166386,41,0.651,0.33,0.812,0.000131,1,1,0.0833,-6.912,0.239,189.684,4,0.927
563,Smiling Faces Sometimes,Dead Presidents Volume II / Music From The Motion Picture,The Undisputed Truth,1995,196893,0,0.555,0.344,0.554,5.04e-06,11,1,0.0729,-8.855,0.025,105.24,4,0.79
564,Treat Her Like A Lady,The Story Of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,1996-01-01,160360,51,0.775,0.191,0.476,0.0,11,0,0.132,-8.539,0.0355,131.4,4,0.928
565,You've Got A Friend,Rhino Hi-Five: James Taylor,James Taylor,2005-10-18,270466,0,0.695,0.731,0.192,0.00707,9,1,0.0995,-19.336,0.0303,92.015,4,0.464
566,Mr. Big Stuff,"Stax Chartbusters, Vol. 1",Jean Knight,2008-01-01,154253,13,0.891,0.293,0.632,1.92e-05,8,1,0.123,-7.409,0.153,93.132,4,0.966
567,Brown Sugar - (Original Single Stereo Version),Singles 1968-1971,The Rolling Stones,2005-02-28,229160,28,0.642,0.153,0.861,8.35e-05,0,1,0.0834,-6.45,0.0326,128.414,4,0.963
568,Do You Know What I Mean,5th,Lee Michaels,1991,195546,0,0.766,0.0708,0.856,0.00228,0,1,0.0267,-11.432,0.0539,108.737,4,0.957
569,What's Going On - Single Version / Stereo,Anthology,Marvin Gaye,1995-01-01,238333,0,0.543,0.523,0.683,0.133,1,0,0.264,-10.799,0.0691,100.473,4,0.773
570,Ain't No Sunshine,Discover Bill Withers,Bill Withers,2007-08-21,123333,0,0.536,0.427,0.482,3.9e-05,9,0,0.104,-9.777,0.13,78.351,4,0.449
571,Signs,Absolutely Right - The Best Of Five Man Electrical Band,Five Man Electrical Band,2009-01-01,241693,53,0.446,0.243,0.731,0.0,2,1,0.0935,-10.302,0.0519,153.672,4,0.723
572,She's A Lady,Gold (1965 - 1975),Tom Jones,2005-01-01,172826,0,0.464,0.175,0.947,1.56e-05,11,0,0.432,-5.349,0.214,119.4,4,0.769
573,Superstar,Gold: The Definitive Hits Collection,Andrew Lloyd Webber,2002-01-01,256826,0,0.479,0.125,0.566,0.0,9,1,0.344,-7.799,0.0505,122.775,4,0.553
574,Amos Moses,My Name Is Earl,Jerry Reed,2006,140840,0,0.757,0.433,0.813,0.000106,2,1,0.0147,-6.211,0.0683,105.627,4,0.963
575,Superstar,The Singles 1969 - 1973,Carpenters,1973-01-01,220266,0,0.322,0.448,0.32,3.69e-05,1,1,0.114,-12.12,0.0312,83.212,4,0.11
576,Sweet And Innocent,Osmondmania!,Donny Osmond,2003-01-01,180066,6,0.767,0.436,0.723,0.000261,0,1,0.298,-7.12,0.0358,124.948,4,0.97
577,For All We Know,The Singles 1969 - 1973,Carpenters,1973-01-01,154826,0,0.265,0.81,0.282,3.02e-05,7,1,0.0971,-14.65,0.032,135.631,4,0.33
578,Help Me Make It Through The Night,Help Me Make It Through The Night,Sammi Smith,2011-02-03,152293,34,0.531,0.94,0.213,0.315,8,1,0.112,-15.56,0.0255,78.937,4,0.378
579,Rainy Days And Mondays - Single Version,The Singles 1969 - 1973,Carpenters,1973-01-01,200706,0,0.403,0.784,0.303,0.0,0,0,0.282,-12.97,0.0332,77.23,4,0.317
580,If You Could Read My Mind,Gord's Gold,Gordon Lightfoot,1975,229560,56,0.603,0.68,0.252,6.96e-05,2,1,0.147,-12.402,0.0337,122.631,4,0.179
581,"Gypsys, Tramps & Thieves","Gypsys, Tramps & Thieves",Cher,1971-01-01,158000,59,0.476,0.211,0.677,0.0,0,1,0.0601,-11.175,0.0365,170.879,4,0.691
582,Never Can Say Goodbye - Single Version,The Ultimate Collection: Jackson 5,The Jackson 5,1996-01-01,180106,22,0.528,0.325,0.842,4.13e-06,2,1,0.464,-6.038,0.0528,165.389,4,0.83
583,Rose Garden,Rose Garden,Lynn Anderson,2007-02-26,174400,0,0.641,0.575,0.467,0.0,0,0,0.195,-11.96,0.0701,134.222,4,0.829
584,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds-Greatest Hits","Hamilton, Joe Frank & Reynolds",1994-11-22,162026,0,0.627,0.364,0.59,0.0,7,1,0.171,-12.019,0.0335,100.543,4,0.902
585,Mr. Bojangles - Remastered 2001,Certified Hits (Remastered),Nitty Gritty Dirt Band,2001-01-01,215400,60,0.444,0.699,0.757,0.0,11,0,0.329,-6.884,0.0541,154.26,3,0.554
586,Whatcha See Is Whatcha Get,"Stax Chartbusters, Vol. 6",The Dramatics,2008-01-01,212840,30,0.638,0.226,0.708,0.0,6,1,0.12,-10.383,0.128,153.144,4,0.904
587,That's The Way I've Always Heard It Should Be,Carly Simon,Carly Simon,1971-03,258133,50,0.4,0.938,0.0897,0.000521,0,1,0.0847,-19.012,0.0288,70.387,4,0.24
588,If You Really Love Me,Motown Legends Love Songs,Stevie Wonder,1995-01-01,177600,0,0.539,0.499,0.359,0.0,5,1,0.074,-13.036,0.0489,123.386,4,0.736
589,Spanish Harlem,Queen of Soul - The Best of Aretha Franklin,Aretha Franklin,2007-04-09,211000,10,0.688,0.124,0.808,0.00158,2,1,0.126,-8.207,0.0552,115.801,4,0.883
590,The Night They Drove Old Dixie Down,The Best Of Joan Baez,Joan Baez,1997-01-01,205000,37,0.575,0.595,0.355,0.0,1,1,0.104,-12.668,0.0332,129.317,4,0.453
591,I Don't Know How To Love Him,I Don't Know How To Love Him,Helen Reddy,2006-01-01,199146,43,0.284,0.699,0.396,0.0386,3,1,0.129,-6.761,0.028,79.628,4,0.303
592,Stay Awhile,Hard Core Logo II (Music From And Inspired By The Motion Picture),The Bells,2011-09-06,202680,25,0.43,0.812,0.463,0.197,11,1,0.105,-10.249,0.0299,84.142,4,0.435
593,Beginnings - 2007 Remaster,"The Best of Chicago, 40th Anniversary Edition",Chicago,2007-10-01,170720,18,0.581,0.0528,0.841,0.000462,11,0,0.601,-7.944,0.0526,107.993,4,0.614
594,Proud Mary,The Best Of (Digitally Remastered),Ike Turner,2009-02-17,297626,0,0.575,0.299,0.385,9.06e-06,2,1,0.0491,-12.338,0.169,89.387,4,0.697
595,Yo-Yo,20th Century Masters: The Millennium Collection: Best of The Osmonds,The Osmonds,2002-01-01,195560,10,0.635,0.681,0.654,0.0,2,1,0.107,-11.029,0.0586,139.414,4,0.956
596,Draggin' The Line,40 Years,Tommy James,2008-10-28,162973,0,0.672,0.0461,0.594,0.000383,1,0,0.347,-8.247,0.042,114.105,4,0.725
597,Bridge over Troubled Water,Queen of Soul - The Best of Aretha Franklin,Aretha Franklin,2007-04-09,331360,13,0.481,0.721,0.395,4.93e-05,10,1,0.451,-9.017,0.0319,77.89,4,0.373
598,Doesn't Somebody Want to Be Wanted,Come On Get Happy! The Very Best Of The Partridge Family,The Partridge Family,2005-05-03,169266,21,0.747,0.687,0.396,0.0,10,1,0.0452,-13.134,0.0349,113.106,4,0.852
599,Me and You and a Dog Named Boo,The Best Of Lobo,Lobo,1993-06-11,177933,53,0.628,0.178,0.603,1.73e-05,6,1,0.0686,-10.286,0.0312,120.782,4,0.951
600,Alone Again (Naturally),The Berry Vest Of Gilbert O'Sullivan,Gilbert O'Sullivan,2004-03-15,218920,0,0.554,0.6,0.529,0.000177,8,0,0.153,-6.292,0.0346,172.061,4,0.601
601,American Pie,American Pie,Don McLean,1971,516893,78,0.531,0.699,0.481,0.0,4,0,0.0842,-11.709,0.06,138.45,4,0.491
602,Without You - Remastered,Nilsson Schmilsson,Harry Nilsson,1971,203000,0,0.453,0.554,0.213,3.68e-06,4,1,0.0506,-13.656,0.0279,64.177,4,0.0955
603,The Candy Man,20th Century Masters: The Millennium Collection: Best Of Sammy Davis Jr.,Sammy Davis Jr.,2002-01-01,192920,33,0.635,0.817,0.53,0.000108,0,1,0.341,-11.179,0.0333,131.188,4,0.808
604,I Gotcha,Skinny Legs And All,Joe Tex,2010-05-28,159613,36,0.876,0.242,0.659,0.000693,10,0,0.192,-11.076,0.208,93.353,4,0.963
605,Lean On Me - Single Version,The Best Of Bill Withers: Lean On Me,Bill Withers,1971,257266,0,0.609,0.87,0.272,9.01e-05,0,1,0.106,-10.265,0.0576,74.783,4,0.434
606,Baby Don't Get Hooked on Me,Baby Don't Get Hooked On Me,Mac Davis,1972-09-09,183933,54,0.495,0.26,0.307,5.21e-05,9,1,0.103,-18.168,0.0403,80.97,4,0.802
607,Brand New Key,Working Legend,Melanie,2010-08-16,145866,0,0.671,0.801,0.403,1.29e-06,1,1,0.105,-7.508,0.035,84.127,4,0.819
608,Let's Stay Together,Let's Stay Together,Al Green,1972-01-31,199400,0,0.746,0.606,0.273,0.0168,5,1,0.0526,-16.63,0.0573,101.952,4,0.502
609,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972,186826,75,0.716,0.396,0.625,1.97e-05,1,0,0.134,-11.369,0.0601,125.276,4,0.826
610,Nice To Be With You,Nice To be With You,Gallery,2011-05-15,160373,0,0.707,0.0742,0.882,0.00128,9,1,0.0803,-9.075,0.031,132.27,4,0.971
611,My Ding A Ling,My Ding A Ling,Chuck Berry,2008-03-31,248186,0,0.685,0.821,0.573,0.0,3,1,0.121,-6.397,0.147,121.569,4,0.563
612,(If Loving You Is Wrong) I Don't Want to Be Right,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1967,216800,50,0.502,0.283,0.451,0.0,4,0,0.154,-7.423,0.0438,140.474,4,0.531
613,"Betcha By Golly, Wow",The Very Best of the Stylistics ... And More!,The Stylistics,2005-11-08,198986,0,0.373,0.535,0.505,0.0,3,1,0.327,-7.887,0.0285,141.146,4,0.438
614,I'll Take You There,"Stax Chartbusters, Vol. 4",The Staple Singers,2008-01-01,195293,36,0.846,0.096,0.521,4.12e-06,0,1,0.0919,-10.821,0.0481,101.653,4,0.776
615,Ben - Single Version,Ben,Michael Jackson,1972-08-04,167386,55,0.435,0.911,0.161,0.000214,5,1,0.113,-10.84,0.0298,136.166,4,0.291
616,Outa-Space - Single Version,20th Century Masters: The Millennium Collection: Best Of Billy Preston,Billy Preston,2002-01-01,249640,11,0.693,0.11,0.91,0.236,1,1,0.221,-6.258,0.0356,116.251,4,0.894
617,Slippin' Into Darkness,The Hits & More,War,2011-01-01,225840,0,0.6,0.125,0.623,0.00876,4,0,0.145,-8.87,0.0782,90.601,4,0.664
618,Long Cool Woman (In a Black Dress) - 1999 Remaster,Distant Light (1999 Remaster),The Hollies,1971-10-08,199200,66,0.757,0.411,0.868,0.00221,9,1,0.355,-9.326,0.062,138.923,4,0.815
619,Song Sung Blue - Single Version,Moods,Neil Diamond,1972,195160,0,0.55,0.487,0.334,1.1e-05,0,1,0.289,-15.681,0.0329,109.158,4,0.373
620,A Horse with No Name,America,America,1972,252239,78,0.654,0.686,0.506,0.0155,11,0,0.155,-17.18,0.0535,123.179,4,0.831
621,Popcorn,Los Nº 1 de la Radio Vol. 7,Hot Butter,2011-09-16,150946,0,0.783,0.182,0.731,0.856,9,1,0.114,-11.433,0.0531,135.627,4,0.978
622,Everybody Plays the Fool,Everybody Plays The Fool: The Best Of The Main Ingredient,The Main Ingredient,2005,202253,53,0.485,0.704,0.641,9.92e-05,3,1,0.159,-8.752,0.0418,168.645,4,0.855
623,Precious And Few,Precious And Few & Other Favorites (Digitally Remastered),Climax,2009-06-23,163693,18,0.231,0.585,0.411,0.525,9,1,0.101,-10.336,0.0285,102.258,4,0.186
624,(Last Night) I Didn't Get To Sleep At All,Individually & Collectively,The 5th Dimension,1972-02-19,192600,49,0.671,0.484,0.497,0.0027,5,0,0.0893,-12.53,0.0289,105.117,4,0.564
625,Nights In White Satin,20th Century Masters: The Millennium Collection: Best Of The '60s,The Moody Blues,2000-01-01,269266,0,0.188,0.431,0.385,0.304,4,0,0.127,-9.064,0.0306,156.367,3,0.14
626,Go All The Way - Remastered,Greatest,Raspberries,2005-01-01,201960,40,0.295,0.594,0.814,2.14e-05,2,1,0.24,-6.258,0.11,134.567,4,0.546
627,Too Late To Turn Back Now,The Story Of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,1996-01-01,198693,61,0.516,0.344,0.73,0.0,7,1,0.425,-7.136,0.0494,115.126,4,0.907
628,Back Stabbers,Back Stabbers,The O'Jays,1972-01-01,186093,61,0.751,0.317,0.714,0.0,10,1,0.639,-11.614,0.0374,124.379,4,0.935
629,Down By The Lazy River,20th Century Masters: The Millennium Collection: Best of The Osmonds,The Osmonds,2002-01-01,164800,21,0.595,0.162,0.773,0.0,2,1,0.315,-9.374,0.0449,142.12,4,0.963
630,Sunshine (Go Away Today),Jonathan Edwards,Jonathan Edwards,1971,138733,57,0.705,0.335,0.359,0.0,10,1,0.0968,-15.388,0.0649,125.31,4,0.837
631,Starting All Over Again,"Stax Chartbusters, Vol. 1",Mel & Tim,2008-01-01,230920,18,0.624,0.686,0.326,0.103,11,1,0.108,-10.617,0.0349,137.812,4,0.486
632,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,83,0.601,0.432,0.532,6.25e-06,10,1,0.0925,-9.119,0.0286,136.571,4,0.341
633,Rockin' Robin,Anthology: The Best Of Michael Jackson,Michael Jackson,1986-11-14,152866,22,0.618,0.352,0.754,0.000238,10,1,0.322,-6.866,0.113,172.742,4,0.968
634,Morning Has Broken,Teaser and the Firecat,Yusuf / Cat Stevens,1971,200000,9,0.424,0.622,0.321,0.0196,7,1,0.0903,-13.162,0.0312,133.126,3,0.405
635,The City of New Orleans - Original Version,Hobo's Lullaby (remastered 2004),Arlo Guthrie,1972-02-01,274506,0,0.616,0.535,0.577,0.0,1,1,0.0808,-8.834,0.0407,145.863,4,0.592
636,Garden Party,Garden Party,Ricky Nelson,1972,229800,56,0.774,0.786,0.247,0.0186,2,1,0.116,-21.657,0.0779,143.955,4,0.803
637,I Can See Clearly Now - Edit,I Can See Clearly Now,Johnny Nash,1972,164733,70,0.681,0.633,0.373,0.00113,2,1,0.0751,-13.2,0.0568,123.423,4,0.623
