,0
1088,4272
1089,106.8K
1090,53.6K
1091,18.1K
1092,19K
1093,508K
1094,10.8K
1095,32.4K
1096,322.7K
1097,104.4K
1098,380.1K
1099,8109
1100,169.4K
1101,1.1M
1102,24K
1103,385.2K
1104,577.8K
1105,352
1106,225.2K
1107,260.9K
1108,144.2K
1109,971.1K
1110,200.3K
1111,79.8K
1112,427.1K
1113,31.3K
1114,84.7K
1115,33.3K
1116,22.1K
1117,352.2K
1118,52.3K
1119,4669
1120,205.8K
1121,110.7K
1122,121.8K
1123,153.4K
1124,13.8K
1125,66.9K
1126,38K
1127,40.8K
1128,49.4K
1129,177.9K
1130,344.3K
1131,518K
1132,334.2K
1133,82.3K
1134,77.3K
1135,83.7K
1136,37.1K
1137,18.4K
1138,398.4K
1139,41.3K
1140,14.5K
1141,81.7K
1142,155.8K
1143,38.9K
1144,6473
1145,10.7K
1146,126.5K
1147,82.9K
1148,21.4K
1149,93.9K
1150,1.3M
1151,1.6M
1152,123.7K
1153,784K
1154,1.2M
1155,690.9K
1156,163.2K
1157,1727
1158,391.6K
1159,811.2K
1160,279.9K
1161,7460
1162,791.7K
1163,297
1164,138.8K
1165,27.9K
1166,462.3K
1167,552.3K
1168,119.2K
1169,61.8K
1170,208.5K
1171,173.9K
1172,1.2M
1173,357.2K
1174,136.1K
1175,113.6K
1176,296.2K
1177,56.8K
1178,54.6K
1179,82.8K
1180,583.6K
1181,14.8K
1182,7177
1183,306.2K
1184,139.2K
1185,319K
1186,67.1K
1187,71.9K
1188,34.5K
1189,391.1K
1190,174.3K
1191,131.4K
1192,99.7K
1193,167K
1194,162.7K
1195,79.2K
1196,312.1K
1197,264.3K
1198,124.5K
1199,608.7K
1200,528.8K
1201,388.6K
1202,76.8K
1203,480.7K
1204,246.3K
1205,696.8K
1206,427.8K
1207,610.8K
1208,354.4K
1209,501.6K
1210,252.3K
1211,149.1K
1212,162.8K
1213,711.2K
1214,983.8K
1215,259.5K
1216,833.1K
1217,12K
1218,190.1K
1219,370.1K
1220,267.3K
1221,59.2K
1222,302.5K
1223,60.4K
1224,395.3K
1225,274.5K
1226,286.2K
1227,523.5K
1228,87.9K
1229,64.2K
1230,139.8K
1231,186.5K
1232,271.5K
1233,162.3K
1234,254.2K
1235,300.6K
1236,340.9K
1237,328.1K
1238,700.1K
1239,243K
1240,473.4K
1241,53.5K
1242,107.6K
1243,34.6K
1244,81.7K
1245,34.8K
1246,28.3K
1247,105.3K
1248,98.2K
1249,9442
1250,770.3K
1251,643.3K
1252,653.3K
1253,467.8K
1254,215.9K
1255,92.1K
1256,852.6K
1257,1.1M
1258,852.6K
1259,225.4K
1260,1.5M
1261,100.4K
1262,180.6K
1263,387K
1264,492.5K
1265,380.6K
1266,10.7K
1267,122.8K
1268,78.2K
1269,120.3K
1270,361
1271,649.6K
1272,206.6K
1273,233.5K
1274,506K
1275,67.5K
1276,52.8K
1277,64.1K
1278,47.8K
1279,59.8K
1280,71.9K
1281,155.2K
1282,235.8K
1283,22K
1284,280.8K
1285,119.5K
1286,170.3K
1287,62.3K
1288,217.9K
1289,139.7K
1290,145.6K
1291,67K
